title,authors,orgs,source,year,volume,issue,pages,keywords,abstract,doi,cited_count,download_count,fund,classification,clc_code,url,uid
"糖尿病——听起来""很甜"",延误却凶险 题录",王玉成 ; 王少龙 ; 孙希瑞 ; 潍坊医学院附属医院眼科中心潍坊医学院附属医院眼科中心潍坊医学院附属医院眼科中,,健康世界,2020,,,,,"""糖尿病""是一个很常见的名词,也是一种很常见的疾病,可能很多人只闻其名,不明其害。这个名字听起来""很甜"",而实际上,糖尿病如果诊治延误,却是很凶险的。",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5aJUIJcAk8O58pq2j3j406SnLLQ6xvNqejsRjsJIb5XbHbYavAjH5UDYTMxxyOTD2cHuK4591XEEo6aQZrzhhVIRTrcxCygYD8hRjqsaRGImWLallV1D1gMQkbg0nF-LCOg9XdEvd42mpWyrVVMruX1RpAdycqIB_hG5eqs4yQaw==&uniplatform=NZKPT&language=CHS,6e8b46c23a5b
不忘初心 牢记使命 努力把中国创面修复科建设好发展好 题录,"付小兵1,2 ; 1.解放军总医院第四医学中心",,中华烧伤杂志,2020,,,,伤口愈合 ; 创面 ; 修复 ; 国家卫生健康委员会,"本文基于国家卫生健康委员会近日发布的《关于加强体表慢性难愈合创面(溃疡)诊疗管理工作的通知》精神, 在简要回顾我国创面治疗学科体系建设重要发展历程的基础上, 就我国创面修复学科建设面临的机遇与挑战进行了论述。强调要抓住历史机遇, 把握学科发展方向, 努力把我国创面修复专科建设好、发展好, 最终造福广大患者。",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5aJUIJcAk8O58pq2j3j406SnLLQ6xvNqfgyIMea3uH1j1q-9EJcEs1bG-YP2lstMSs7AXY6_t2hccqVdMd3-8sjPN-jBCNP9xiggRE7q_Gh_3igA1PPzw5SJeNd0vp61hZqFFApcbQ9FIZidxhxb-LBK9WngQwvUkujfXX-aZBlw==&uniplatform=NZKPT&language=CHS,2e482ddd1eba
氯己定敷料可降低导管相关性血流感染：一项真实世界数据研究 题录,,,中华危重病急救医学,2019,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7gpzgiCBt1ZfeMC1amVjInwuLxw_w799ZKcNajbVHzGQxEFV8Cm1EO1TxnKJwzyv43xKSs3h5YzRqNssJ_YwK6K2sPDWW3KS3T7jwwNyzRKmEX6tvm9P2dxjaoSKsCm5-qkNVKOtCtUQxtMGzlJWEGAbz0nUlIzFgbaGmIz71u8w==&uniplatform=NZKPT&language=CHS,145d0bba4b86
军队三级甲等医院护士组织承诺与患者安全文化感知相关性分析 题录,陈燕丽 ; 许丽贞 ; 邱国钦 ; 中国人民解放军陆军第七十三集团军医院消化内科肿瘤微创病区,,国际护理学杂志,2019,,,,军队 ; 三级甲等医院 ; 组织承诺 ; 安全文化感知,"目的探讨军队三级甲等医院护士组织承诺与患者安全文化感知的关系。方法采用中国职工组织承诺量表(Chinese Organization Commitment Questionnarire, COCQ)和患者安全文化感知问卷(Patient Safety Culture Assessment Scale, PSCAS)对622名护士进行问卷调查。结果 COCQ条目得分为(1.91±0.61)分, PSCAS条目得分为(2.92±0.66)分, COCQ及各维度得分均与PSCAS及各维度得分呈正相关, 差异有统计学意义(P<0.05)。结论军队三级甲等医院护士组织承诺与患者安全文化感知得分均较低, 提升护士组织承诺水平对提高患者安全文化感知有积极意义。",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7gpzgiCBt1ZfeMC1amVjInwuLxw_w799akFrrqJHkfNo9bAhQc3bCb4DGD2p0Jzk-4TpQKtTmd30czqcD4opc9bnvE4nqwfP6rIePCk9bdCoxwh6po29bmeQNgYkltGgkvumBYfwV6JueT_1lq0njUXTH3zVYu5fwRH7TuxMWZpA==&uniplatform=NZKPT&language=CHS,72c43dc6718a
游戏化在健康管理中应用的文献计量学分析 题录,李亚维 ; 张军 ; 杨超 ; 夏碧莹 ; 武汉大学健康学院,,中华健康管理学杂志,2019,,,,文献计量学 ; 健康促进 ; 健康管理 ; 游戏化,"目的通过对文献计量学分析, 了解游戏化在健康管理中应用的研究现状及趋势。方法基于Web of Science核心合集, 检索1900至2018年发表的相关论著、综述和会议文集, 并对检出文献的类型、发表年度、作者和基金进行分析。利用VOS viewer1.6.9进行关键词、国家/地区的可视化分析。结果共检出364篇文献, 其中论著177篇(48.63 %)。自2013年始, 发文量呈快速上升趋势, 但高生产能力作者发文量仅占16.48%(60/364), 尚未形成该研究方向的核心作者群。美国发文量最多, 达89篇。发文量位于前十的基金中, 7个均属于英国。我国仅发表10篇文献。本次共纳入55个高频关键词, 形成5个研究主题:基于移动设备的青少年体育活动管理;基于网络的老年人行为、心理管理;健身游戏的设计与应用;青少年健康行为的干预与促进;移动医疗在成年人自我管理中的应用。其中, 新的高频关键词包括老年人、成年人、心理健康等。结论游戏化在健康管理中的应用处于起步阶段, 但发展迅速。欧美国家处于领先地位, 而我国相对落后。研究主题趋于多样化, 并初步应用于老年人、成年人和心理健康管理。今后...",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5mbTCN8yMk80brGN-sfcaqVX-Zvg1HRbykifg39Uft1qsjRqDTXX_-wWfyqulBIy4dn9Tlnb14jBbR6r5k-MqQND9OBmK6Wvynnn3gFSbwSLF4Q8_5taq_GtVyz5uhzOCaixJFVHnmq9-lmBaX6oa9LlQC2_dpsMahlRj3T3b3UA==&uniplatform=NZKPT&language=CHS,0bd52ce008e4
坏死性软组织感染患者的临床特点和预后：一项多中心前瞻性队列研究 题录,,,中华危重病急救医学,2019,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5mbTCN8yMk80brGN-sfcaqVX-Zvg1HRby6FlB0pz8X2uA4AcKs-farTTYXVDvUDR6zUFItcCZLUfQMlI1lMi-wl4GBPqCo8L_Kboa70b33W9N5ijVfsyBleEH4YrmGjPXbSqqK4A0AMEobwK6EfGAmdKMu6e5fxW6OktbpSSPBYw==&uniplatform=NZKPT&language=CHS,34e202468d4e
在严重创伤后早期预防性放置下腔静脉滤器：一项多中心随机对照试验 题录,,,中华危重病急救医学,2019,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5mbTCN8yMk80brGN-sfcaqVX-Zvg1HRby6FlB0pz8X2qN4ThhISUaSr7mGNt-cufO-fDlT8XouSR27rh12ZaSO-LwzYOej44p7MOps9yxnpirmVAKXgjOKRZR6n3q9z8B2d9TIx5eRe8MJkgFdE5yROpab9YCMYAwKS_OUARIf5g==&uniplatform=NZKPT&language=CHS,6f9b31eb0363
饮食及生活习惯对海军某部高脂血症发生率的影响 题录,"王晓辉 ; 李超 ; 崔立红 ; 北京, 解放军总医院第六医学中心消化内科",,中华航海医学与高气压医学杂志,2019,,,,海军某部饮食 ; 生活习惯 ; 高脂血症,"目的探讨饮食及生活习惯对海军某部官兵高脂血症发生率的影响。方法采用问卷调查方法, 对海军某部现役官兵进行流行病学调查, 并对官兵进行空腹血脂化验。其中高脂血症官兵设为高脂血症组, 血脂正常官兵设为对照组。比较2组官兵在饮食及生活习惯上的差异。结果调查海军官兵5 972名, 其高脂血症患病率为27.51%。高脂血症组进食高脂肪食物频率≥2餐/d的比率为35.61%, 进食高蛋白食物频率≥2餐/d的比率为79.98%, 喜好甜食的比率为44.74%, 进食零食频率≥3 d/周的比率为59.97%, 与对照组相比差异有统计学意义(P<0.05)。高脂血症组进食高纤维素食物频率≤2 d/周的比率为34.02%, 进食富含维C食物频率≤1餐/d的比率高达49.23%, 与对照组相比差异有统计学意义(P<0.05)。高脂血症组体育活动频率≤2 d/周的比率为39.74%, 每周累计体育活动时间>4 h的官兵比例为34.57%, 与对照组相比差异有统计学意义(P<0.05)。高脂血症组BMI≥24的比例为39.62%, 而对照组该比例仅为14.02%, 2组比较差异有统计学意...",,,,海军后勤科研计划课题(CHJ12J027)；,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6kCSYiCXBd_lyCRq9RBOkTjTZq-bpkvXDarHykzemp3bufge7AFufkYlosY3rxsdqfU7stweAnzKPPDn7k6bgcjmmakDTJVKrq9OV7wKBoQjbsXPi1YSOYr4L9-Qk9ZNQzJxE2Bbmd_tRx3EARf6r1v0Wma1XdaM_U8DHRk-bfGA==&uniplatform=NZKPT&language=CHS,40e4862faec4
总编导读 题录,,,中华全科医师杂志,2019,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF76ylNBgIF9NjvHZu1OmjlCUeCcbx8X-vpMu3AoL2FmrLlo95J0lxEACOn_GDlbpvnjBQlt2nUcYy9Ev8-0ORkYEuhQrjzIeoWVyp8tVv3RcYmva5gQgkY_nhJikSbHxHDPqfD31G2D-Qi5epxKNQ-jE503iFz8q-Bl9BLEOqwJag==&uniplatform=NZKPT&language=CHS,33ef905e25ce
神奇的音乐疗法 题录,张欢欢 ; 北京航空总医院,,,2019,,,,,"研究发现, 音乐是一种精神调剂手段, 可以帮助缓解病痛。在中医临床上, 引导性音乐想象技术被广泛运用到理疗及慢性病管理中。",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF76ylNBgIF9NjvHZu1OmjlCUeCcbx8X-vqPACdm0jEPYfjXkB2-814xAWAwkFDpLyQKihcImUCSmup-pLd98oN8QKXS5-59ZqsFQJicDDU0ncYPydiM86HGXBx-mJ93C1cFmJxz9fqo4xSU0gkQCkTwRAF-_PhtZBRCY3In98_VRQ==&uniplatform=NZKPT&language=CHS,13cd5e8ea3f5
Instructions For Authors 题录,,,母胎医学杂志（英文）,2019,,,,,"Where required, abstracts are limited to 500 words, which is excluded from the overall manuscript word count. The abstract is unstructured and should briefly describe: (1) the problem being addressed in the study, (2) how the study was performed, (3) the salient results, and (4) what the authors conclude from the results.",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7oWI0sD8_GWCUmmWP192rA9hT-gPT4Kr2bgfJXXiHfwX5gkN3UVUyjsK4K1Fs7yANdWx_z2QJUOeCI3ebPGrgY_D1Rh4CDUMAO_kME_gDQ0-m6RZWKujIFvC5T2s-9V9-s1tUWkqUVpGrYwfbeDla51uRylpzitd1mWjxuUJe9Rw==&uniplatform=NZKPT&language=CHS,3b99e5de6a46
本期提示 题录,刘新艳,,中华生物医学工程杂志,2019,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5VneMmYNVulDomZP9KBPsalS5e7jsL3JORbjnYc_5VNahMb62XFboAFr5lYygYn3e9Ppyp63PlU0rXkSD9UD54ZyviQBCpLbdHlkOjl5ts3TgRbF9lTJhHaQInU2oeOYFq3_eVMWxfNfmqeMETl29avE2mfovKXqFE43hbUapgIQ==&uniplatform=NZKPT&language=CHS,28f64a58c051
智能手机体力活动相关应用程序的有效性及其行为改变技术 题录,叶孙岳 ; 福建龙岩学院体育与健康学院运动康复系,,中华健康管理学杂志,2019,,,,体育运动 ; 健康行为 ; 静态行为 ; 应用程序 ; 自我监控,"智能手机里有大量的体力活动相关应用程序(apps)。然而, 这些apps实际效果如何, 以及其怎样发挥作用等问题国内少有深入研究。本文通过对国际上相关研究文献进行综述, 试图解答以上问题。研究显示, 虽然体力活动相关apps对促进体力活动和减少静态行为有一定积极作用, 但仍缺乏高质量的研究证据支持;最为常用并且有效的前3个行为转变技术分别为目标设定、自我监控和表现反馈。今后, 还需要设计更多高质量的随机对照实验, 针对不同人群开展长期干预研究。",,,,中国博士后科学基金(2017M621903)；,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7ESA73tMhqc_3388w-PHLF5JqA1dvlffcH8ZrAUPeriSmG-AJJK9jOt7-XC6Bgxqwyixi7YZ23LUC5ixoybQiLUDU-8lH2kuYqvcwJpl7ZJ8J-Ex3Anro3PpGTKNfpgAaSA3KsifuFrtI9-AVOfOOVRZOmstifxeVoD9hrkQ6__A==&uniplatform=NZKPT&language=CHS,4a320cd47f33
修护屏障 筑起肌肤保护墙—访昆明医科大学第一附属医院云南省皮肤病医院执行院长、中华医学会皮肤性病学分会副主任委员何黎教授 题录,本刊编辑部 ; 何静,,,2019,,,,,"美容护肤是现代人不可缺少的重要环节, 可是有些人为了收获美丽的肌肤, 或是使用了含有激素的化妆品, 或是接受了不正规的医美治疗, 皮肤不仅没有变美, 反而变得敏感脆弱。今天, 我们特别邀请何黎教授来分享她的美容护肤经验, 愿每个人在收获美丽的同时, 也能够获得健康。",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4GvQGSW1-v_OrEtX1dUxK4purqikeBL4EG_bvNCKQgIWCIeiqyUOLLQEwYCx0USrPUG9tqp7W1O5GAaWqPKL5ZqUmqqTOVl1eBKm9_z4zd7k0p49gIyS4cPcXCD6b_97LJd_ppMgtu0RPntFMK74yHupGwT7gQWk3jStALf3gBbA==&uniplatform=NZKPT&language=CHS,72f79c5f01ba
《中国近代医疗卫生资料汇编》出版 题录,耿华,,中华医史杂志,2019,,,,,"<正>/zhyszz/articleFiles/2019/49/02/images/0255-7053-49-02-105-F001c.png""/>点击查看大图/zhyszz/articleFiles/2019/49/02/images/0255-7053-49-02-105-F001c.png""/>点击查看大图余新忠选编的《中国近代医疗卫生资料汇编》(全30册)于2018年11月由国家图书馆出版社出版",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4GvQGSW1-v_OrEtX1dUxK4purqikeBL4Ez2Qlt3dOPzhKEA0Y3ceHghvyruQ36ljoJWYj86txLCw_TSzKxROZ27XK8xla8AimwcJLJDZIbIqjjyfGVh-L7X2ciJXhm7OfvQ7ZEVhripQsB74hI9ynSleUkarSY7mvG0s5sUzaMCg==&uniplatform=NZKPT&language=CHS,1977fff0a9be
风雨兼程40年 题录,中华肿瘤杂志编辑部,,中华肿瘤杂志,2019,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4GvQGSW1-v_OrEtX1dUxK4purqikeBL4Ez2Qlt3dOPzvO6L_HKD7ukCuXdI-Ef7PHOAbU3pgYlGZfVb0uX6VSS2tPATH-uBQD7ZknQ3lxoURIPCS7pqX2CuNleR5OcqthUXloCM_dVBhf6CkuH4uJOtUgcXsbuy3gG6asY9Kx_vQ==&uniplatform=NZKPT&language=CHS,ee9a6f30a177
总编寄语 题录,,,中华口腔正畸学杂志,2019,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4NDxuo_zwdtu35-lbGvlJWhUfalNjMcMI9IbnPTUV7pBbUll3gN1HXDQw4zi1rxGTR-nXbKl3439q6tNGlRziiHjBd6qZDWzJwa_mAhapNeVpayqeP9bmZXfX-mcN6eV4v0aTTj_KATajZNQPkwyASl2dHbvDmp_rhRS8LLnEqGQ==&uniplatform=NZKPT&language=CHS,b23d91bace67
2019年Journal of Diabetes第2期中文导读 题录,JDiabetesEditorialOffice,,中华内分泌代谢杂志,2019,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4NDxuo_zwdtu35-lbGvlJWhUfalNjMcMJ5zMg1tw9_wtVQWRDQNoCPKwb82fjYXrm4pC8EItTRTuLeNvRglRktQpA5gKB-zD8Ep8stC8_UOxbuyVnmVxc4H3eBjUZEahKWWqpO_BQO-Y98ijtuDG8YG2DKs9cMUdjnRTg25XheGA==&uniplatform=NZKPT&language=CHS,d912ea273afc
迎接新的机遇与挑战 题录,王宁利 ; 首都医科大学附属北京同仁医院 北京同仁眼科中心 北京市眼科研究所 眼科学与视觉科学北京市重点实验室,,国际眼科纵览,2019,,,,,<正>,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5PvwFPQj_ZPqjCxddfTnY_rLi5q81P4koOgV8sF-zh69XZ7sTyz9-2eeDUDT79pfbPs80pPJXueOzs0Tg0Q6Y9VNURF7j17khpeYrND1_PVhS7WKzfwwyQ0AwDCflzXsDED_Igdr4M7ZaR9_bSW_ncMgMyq-HojLh6NPtZqy5xiw==&uniplatform=NZKPT&language=CHS,b76d4c4d5551
新年寄语 题录,,,中华医学科研管理杂志,2019,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5PvwFPQj_ZPqjCxddfTnY_rLi5q81P4kpXi2c6Dh9j_GoqxgpQf58Fz9cvJA73G57xPYTOjQykuLtHnzMF_lB-K622I-KQ6l6nMRXRrmSjubA9TDoAOFR18Bk44FYRLI_4_awnlFaCxOyLvdYh8Ry0QHaOMJ82-yzZNMBct_e7mQ==&uniplatform=NZKPT&language=CHS,42272a29aa4f
《中华泌尿外科杂志》常务编委会会议纪要 题录,霍红梅,,中华泌尿外科杂志,2019,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5PvwFPQj_ZPqjCxddfTnY_rLi5q81P4kpXi2c6Dh9j_OWYUaDuMHdkIqpxEhxKbAaYzgzyx5QRMVFo6OaGnxtWZebtr2NRTUZ2fXKE8oo6978fvW_i1OQ1oOaNpuOiaDEHHVgKNiW0YhgMzeetcfUujWPqItaBlqkziJRPHOx8oA==&uniplatform=NZKPT&language=CHS,ac79eb793230
